id,file,model,scheme,run,alpha,item_idx,gsm8k_index,gold,old_score,new_score,old_parsed_answer,parsed_answer,eos,failure_flagged
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a0.0|i17,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,0.0,17,122,48,0,1,,48,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a0.0|i20,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,0.0,20,10,366,0,1,,366,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a0.0|i25,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,0.0,25,122,48,0,1,,48,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a0.0|i31,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,0.0,31,10,366,0,1,,366,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a0.0|i38,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,0.0,38,181,160,0,1,,160,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a0.0|i44,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,0.0,44,110,45,0,1,,45,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a0.0|i59,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,0.0,59,21,14,0,1,,14,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a0.0|i61,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,0.0,61,30,109,0,1,,109,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a0.0|i62,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,0.0,62,181,160,0,1,,160,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a0.0|i114,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,0.0,114,23,8,0,1,,8,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a0.0|i122,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,0.0,122,181,160,0,1,,160,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a0.0|i123,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,0.0,123,55,14,0,1,,14,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a0.0|i130,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,0.0,130,30,109,0,1,,109,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a0.0|i138,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,0.0,138,124,10,0,1,,10,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a0.0|i144,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,0.0,144,124,10,0,1,,10,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a0.0|i170,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,0.0,170,122,48,0,1,,48,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a0.0|i194,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,0.0,194,110,45,0,1,,45,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a0.0|i196,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,0.0,196,110,45,0,1,,45,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a0.0|i198,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,0.0,198,21,14,0,1,,14,1,False
SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713|a2.0|i13,SteerQuant_Meta-Llama-3-1-8B-Instruct_fp16_sentiment_L16_r1_COMPLETE_20260713.json,meta-llama/Meta-Llama-3.1-8B-Instruct,fp16,r1,2.0,13,117,360,0,1,,360,1,False
